record - recordId,record - aatNedId,record - subjectId,record - status,record - pt,record - bt,record - uf,record - eq
300051996,800013233,300051996,voorkeursterm,algemene verlichting,belichtingstechnieken naar verdeling,,
300051998,800013234,300051998,voorkeursterm,indirecte belichting,belichtingstechnieken naar verdeling,,
300052002,800013235,300052002,voorkeursterm,plaatselijke belichting,belichtingstechnieken naar verdeling,,
300052009,800013236,300052009,voorkeursterm,supplementaire belichting,belichtingstechnieken naar verdeling,,
300052011,800013237,300052011,voorkeursterm,verlichting naar locatie of context,verlichtingssystemen,,
300052015,800013238,300052015,voorkeursterm,architectonische verlichting,verlichting naar functie,,
300052025,800013239,300052025,voorkeursterm,buitenverlichting,verlichting naar locatie of context,,
300052027,800013240,300052027,voorkeursterm,binnenverlichting,verlichting naar locatie of context,,
300052030,800013241,300052030,voorkeursterm,kroonlijstverlichting,binnenverlichting,,
300052032,800013242,300052032,voorkeursterm,cove lighting,binnenverlichting,,
300052034,800013243,300052034,voorkeursterm,paneelverlichting,binnenverlichting,,
300052036,800013244,300052036,voorkeursterm,stadsverlichting,nutsvoorzieningen,,
300052040,800013245,300052040,voorkeursterm,straatverlichting,nutsvoorzieningen,straatverlichting,straatverlichting
300052051,800013246,300052051,voorkeursterm,toneelverlichting,verlichting naar locatie of context,,
300052055,800013247,300052055,voorkeursterm,verlichting naar functie,verlichtingssystemen,,
300052056,800013248,300052056,voorkeursterm,noodverlichting,verlichting naar functie,,
300052062,800013249,300052062,voorkeursterm,nooduitgangverlichtingen,noodverlichtingen,nooduitgangverlichting,nooduitgangverlichting
300052064,800013250,300052064,voorkeursterm,effectbelichting,plaatselijke belichting,,
300052081,800013251,300052081,voorkeursterm,luchtfilters,onderdelen van ventilatiesystemen,luchtfilter,luchtfilter
300052090,800013252,300052090,voorkeursterm,droogfilters,luchtfilters,droogfilter,droogfilter
300052092,800013253,300052092,voorkeursterm,viscous impingement filters,luchtfilters,viscous impingement filter,viscous impingement filter
300052105,800013254,300052105,voorkeursterm,onderdelen van ventilatiesystemen,"onderdelen van verwarmings-, ventilatie- en airconditioningsystemen",onderdeel van ventilatiesysteem,onderdeel van ventilatiesysteem
300052107,800013255,300052107,voorkeursterm,luchtbehandelingskasten,onderdelen van ventilatiesystemen,luchtbehandelingskast,luchtbehandelingskast
300052109,800013256,300052109,voorkeursterm,blaasmachines,onderdelen van ventilatiesystemen,blaasmachine,blaasmachine
300052114,800013257,300052114,voorkeursterm,instelkleppen,onderdelen van ventilatiesystemen,instelklep,instelklep
300052118,800013258,300052118,voorkeursterm,luchtverdeelsystemen,onderdelen van ventilatiesystemen,luchtverdeelsystem,luchtverdeelsystem
300052122,800013259,300052122,voorkeursterm,luchtinblaas- en verdeelornamenten,onderdelen van ventilatiesystemen,luchtinblaas- en verdeelornament,luchtinblaas- en verdeelornament
300052124,800013260,300052124,voorkeursterm,luchtkanalen,onderdelen van ventilatiesystemen,luchtkanaal,luchtkanaal
300052126,800013261,300052126,voorkeursterm,ventilatieroosters,onderdelen van ventilatiesystemen,,
300052129,800013262,300052129,voorkeursterm,schoorstenen en schoorsteenonderdelen,verwarmings- en kookelementen,schoorsteen en schoorsteenonderdeel,schoorsteen en schoorsteenonderdeel
300052135,800013263,300052135,voorkeursterm,"onderdelen van verkoelings-, verwarmings- en bevochtigingssystemen","onderdelen van verwarmings-, ventilatie- en airconditioningsystemen","onderdeel van verkoelings-, verwarmings- en bevochtigingssysteem","onderdeel van verkoelings-, verwarmings- en bevochtigingssysteem"
300052142,800013264,300052142,voorkeursterm,luchtwassers,"onderdelen van verkoelings-, verwarmings- en bevochtigingssystemen",luchtwasser,luchtwasser
300052148,800013265,300052148,voorkeursterm,ketels,"onderdelen van verkoelings-, verwarmings- en bevochtigingssystemen",ketel,ketel
300052153,800013266,300052153,voorkeursterm,heetwaterketels,ketels,heetwaterketel,heetwaterketel
300052156,800013267,300052156,voorkeursterm,stoomketels,ketels,stoomketel,stoomketel
300052159,800013268,300052159,voorkeursterm,koelsystemen met water als indirect koelmedium,luchtkoeling,koelsysteem met water als indirect koelmedium,koelsysteem met water als indirect koelmedium
300052161,800013269,300052161,voorkeursterm,penbundels,warmtewisselaars,penbundel,penbundel
300052163,800013270,300052163,voorkeursterm,buizenkoelers,penbundels,buizenkoeler,buizenkoeler
300052165,800013271,300052165,voorkeursterm,verwarmingselementen,penbundels,verwarmingselement,verwarmingselement
300052168,800013272,300052168,voorkeursterm,ontvochtigingsapparaten,penbundels,ontvochtigingsapparaat,ontvochtigingsapparaat
300052176,800013273,300052176,voorkeursterm,condensatoren,warmtewisselaars,condensator,condensator
300052180,800013274,300052180,voorkeursterm,koeltorens,"onderdelen van verkoelings-, verwarmings- en bevochtigingssystemen",koeltoren,koeltoren
300052185,800013275,300052185,voorkeursterm,warmtepompen,"onderdelen van verkoelings-, verwarmings- en bevochtigingssystemen",warmtepomp,warmtepomp
300052193,800013276,300052193,voorkeursterm,verdampers,"koel-, verwarm- en bevochtigingsuitrusting",verdamper,verdamper
300052197,800013277,300052197,voorkeursterm,koelmiddelsystemen,luchtkoeling,koelmiddelsysteem,koelmiddelsysteem
300052201,800013278,300052201,voorkeursterm,kachels,verwarmingstoestellen,kachel,kachel
300052208,800013279,300052208,voorkeursterm,hete-luchtovens,stookovens,hete-luchtoven,hete-luchtoven
300052212,800013280,300052212,voorkeursterm,elektrische ovens,hete-luchtovens,elektrische oven,elektrische oven
300052223,800013281,300052223,voorkeursterm,oliecomforts,hete-luchtovens,oliecomfort,oliecomfort
300052231,800013282,300052231,voorkeursterm,haardsteden en haardstedeonderdelen,verwarmings- en kookelementen,haardstede en haardstedeonderdeel,haardstede en haardstedeonderdeel
300052235,800013283,300052235,voorkeursterm,warmteverdelingseenheden,"onderdelen van verwarmings-, ventilatie- en airconditioningsystemen",warmteverdelingseenheid,warmteverdelingseenheid
300052241,800013284,300052241,voorkeursterm,pijlers en pijleronderdelen,dragende en weerstandbiedende elementen,pijler en pijleronderdeel,pijler en pijleronderdeel
300052242,800013285,300052242,voorkeursterm,bogen en boogonderdelen,overspannende en uitkragende bouwelementen,,
300052243,800013286,300052243,voorkeursterm,koepels en koepelonderdelen,omsluitende structurele elementen,,
300052244,800013287,300052244,voorkeursterm,gewelven en gewelfonderdelen,omsluitende structurele elementen,,
300052248,800013288,300052248,voorkeursterm,zuilen en zuilonderdelen,dragende en weerstandbiedende elementen,zuil en zuilonderdeel,zuil en zuilonderdeel
300052249,800013289,300052249,voorkeursterm,entablementen en entablementonderdelen,overspannende en uitkragende bouwelementen,,
300052250,800013290,300052250,voorkeursterm,kroonlijsten en kroonlijstonderdelen,entablementonderdelen,,
300052251,800013291,300052251,voorkeursterm,friezen en friesonderdelen,entablementonderdelen,,
300052252,800013292,300052252,voorkeursterm,plintverwarmingseenheden,warmteverdelingseenheden,plintverwarmingseenheid,plintverwarmingseenheid
