ODIS_ID,ODIS URI,RECORD_OMSCHRIJVING,Soort_N,Waarde_N
62,http://www.odis.be/lnk/PS_62,Ferdinand du Bois de Nevele (1795-1862),F2N5,"du Bois de Nevele, Ferdinand"
62,http://www.odis.be/lnk/PS_62,Ferdinand du Bois de Nevele (1795-1862),F4N5,"du Bois-d'Oultremont, Ferdinand"
63,http://www.odis.be/lnk/PS_63,Jean de Perceval (1786-1842),F1N1,"de Perceval, Jan"
63,http://www.odis.be/lnk/PS_63,Jean de Perceval (1786-1842),F1N5,"de Perceval, Jean"
64,http://www.odis.be/lnk/PS_64,Petrus Peeters (1796-1844),F1N1,"Peeters, Peter"
64,http://www.odis.be/lnk/PS_64,Petrus Peeters (1796-1844),F1N5,"Peeters, Petrus"
65,http://www.odis.be/lnk/PS_65,Franciscus Verelst (1787-1851),F1N1,"Verelst, Francis"
65,http://www.odis.be/lnk/PS_65,Franciscus Verelst (1787-1851),F1N2,"Verelst, François"
65,http://www.odis.be/lnk/PS_65,Franciscus Verelst (1787-1851),F1N3,"Verelst, Frans"
65,http://www.odis.be/lnk/PS_65,Franciscus Verelst (1787-1851),F1N5,"Verelst, Franciscus"
66,http://www.odis.be/lnk/PS_66,Charles du Trieu de Terdonck (1790-1861),F1N1,"Du Trieu, Charles"
66,http://www.odis.be/lnk/PS_66,Charles du Trieu de Terdonck (1790-1861),F1N2,"Du Trieu, Karel"
66,http://www.odis.be/lnk/PS_66,Charles du Trieu de Terdonck (1790-1861),F1N5,"Du Trieu, Carolus"
66,http://www.odis.be/lnk/PS_66,Charles du Trieu de Terdonck (1790-1861),F2N1,"du Trieu de Terdonck, Charles"
66,http://www.odis.be/lnk/PS_66,Charles du Trieu de Terdonck (1790-1861),F2N2,"du Trieu de Terdonck, Karel"
66,http://www.odis.be/lnk/PS_66,Charles du Trieu de Terdonck (1790-1861),F2N5,"du Trieu de Terdonck, Carolus"
66,http://www.odis.be/lnk/PS_66,Charles du Trieu de Terdonck (1790-1861),F4N1,"Dutrieu, Charles"
66,http://www.odis.be/lnk/PS_66,Charles du Trieu de Terdonck (1790-1861),F4N2,"Dutrieu, Karel"
66,http://www.odis.be/lnk/PS_66,Charles du Trieu de Terdonck (1790-1861),F4N5,"Dutrieu, Carolus"
67,http://www.odis.be/lnk/PS_67,Jan Verlinden (1802-1867),F1N1,"Verlinden, Jan"
67,http://www.odis.be/lnk/PS_67,Jan Verlinden (1802-1867),F1N5,"Verlinden, Jean"
69,http://www.odis.be/lnk/PS_69,Bernard Fiocco (1764-1849),F1N1,"Fiocco, Bernard"
69,http://www.odis.be/lnk/PS_69,Bernard Fiocco (1764-1849),F1N5,"Fiocco, Bernardus"
70,http://www.odis.be/lnk/PS_70,Jean-François Tuyaerts (1803-1868),F1N1,"Tuyaerts, Jan-Frans"
70,http://www.odis.be/lnk/PS_70,Jean-François Tuyaerts (1803-1868),F1N2,"Tuyaerts, Jean-François"
70,http://www.odis.be/lnk/PS_70,Jean-François Tuyaerts (1803-1868),F1N5,"Tuyaerts, Jean"
70,http://www.odis.be/lnk/PS_70,Jean-François Tuyaerts (1803-1868),F4N1,"Tuyaerts-Peeters, Jan-Frans"
